2020-10-08T15:46:48-0400 [INFO    ] dandi Traversing remote dandisets (000037) recursively
2020-10-08T15:46:48-0400 [INFO    ] backups2datalad.py Updating metadata file
2020-10-08T15:46:48-0400 [INFO    ] backups2datalad.py Syncing asset /sub-411400/sub-411400_ses-20181015T173410_behavior+ophys.nwb
2020-10-08T15:46:48-0400 [INFO    ] backups2datalad.py Asset not in dataset; will copy
2020-10-08T15:46:48-0400 [INFO    ] backups2datalad.py cp /mnt/backup/dandi/dandiarchive-s3-backup/girder-assetstore/52/78/5278896eeb2343deb6140e878815002a -> /mnt/backup/dandi/dandiarchive-replica/000037/sub-411400/sub-411400_ses-20181015T173410_behavior+ophys.nwb
2020-10-08T15:46:48-0400 [INFO    ] backups2datalad.py Adding asset to dataset
2020-10-08T15:46:53-0400 [INFO    ] backups2datalad.py Adding URL https://dandiarchive.s3.amazonaws.com/girder-assetstore/52/78/5278896eeb2343deb6140e878815002a?versionId=pqKYu2NRJSj7LeaxHNjYrJvBnfNGwcKv to asset
2020-10-08T15:46:53-0400 [INFO    ] backups2datalad.py Syncing asset /sub-411771/sub-411771_ses-20181003T174857_behavior+ophys.nwb
2020-10-08T15:46:54-0400 [INFO    ] backups2datalad.py Asset not in dataset; will copy
2020-10-08T15:46:54-0400 [INFO    ] backups2datalad.py cp /mnt/backup/dandi/dandiarchive-s3-backup/girder-assetstore/a6/20/a6203911dba44060be98031669c4ce57 -> /mnt/backup/dandi/dandiarchive-replica/000037/sub-411771/sub-411771_ses-20181003T174857_behavior+ophys.nwb
2020-10-08T15:46:54-0400 [INFO    ] backups2datalad.py Adding asset to dataset
2020-10-08T15:46:55-0400 [INFO    ] backups2datalad.py Adding URL https://dandiarchive.s3.amazonaws.com/girder-assetstore/a6/20/a6203911dba44060be98031669c4ce57?versionId=aeFSt_7Q_3nL6A_nTGH4DXQJX7StaGYT to asset
2020-10-08T15:46:56-0400 [INFO    ] backups2datalad.py Syncing asset /sub-411771/sub-411771_ses-20181008T172946_behavior+ophys.nwb
2020-10-08T15:46:56-0400 [INFO    ] backups2datalad.py Asset not in dataset; will copy
2020-10-08T15:46:56-0400 [INFO    ] backups2datalad.py cp /mnt/backup/dandi/dandiarchive-s3-backup/girder-assetstore/19/58/1958fc9b9f034f71b7faecfda1756756 -> /mnt/backup/dandi/dandiarchive-replica/000037/sub-411771/sub-411771_ses-20181008T172946_behavior+ophys.nwb
2020-10-08T15:46:56-0400 [INFO    ] backups2datalad.py Adding asset to dataset
2020-10-08T15:46:57-0400 [INFO    ] backups2datalad.py Adding URL https://dandiarchive.s3.amazonaws.com/girder-assetstore/19/58/1958fc9b9f034f71b7faecfda1756756?versionId=AYBFKNcNr5qxtyKpmqddbY3AhZU7.KxE to asset
2020-10-08T15:46:57-0400 [INFO    ] backups2datalad.py Commiting changes
2020-10-08T15:46:58-0400 [INFO    ] backups2datalad.py Creating GitHub sibling for 000037
2020-10-08T15:46:58-0400 [INFO    ] datalad.support.github_ Successfully obtained information about organization dandisets-testing using None credential
2020-10-08T15:47:01-0400 [INFO    ] datalad.ui.dialog Clear progress bars
2020-10-08T15:47:01-0400 [INFO    ] datalad.ui.dialog Refresh progress bars
2020-10-08T15:47:01-0400 [INFO    ] backups2datalad.py Pushing to sibling
2020-10-08T15:47:01-0400 [INFO    ] datalad.core.distributed.push Determine push target
2020-10-08T15:47:01-0400 [INFO    ] datalad.core.distributed.push Push refspecs
2020-10-08T15:47:01-0400 [INFO    ] datalad.core.distributed.push Transfer data
2020-10-08T15:47:01-0400 [INFO    ] datalad.core.distributed.push Update availability information
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Start enumerating objects
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Finished enumerating objects
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Start counting objects
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:   1% (1/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:   3% (2/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:   5% (3/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:   7% (4/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:   9% (5/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  11% (6/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  12% (7/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  14% (8/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  16% (9/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  18% (10/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  20% (11/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  22% (12/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  24% (13/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  25% (14/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  27% (15/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  29% (16/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  31% (17/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  33% (18/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  35% (19/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  37% (20/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  38% (21/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  40% (22/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  42% (23/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  44% (24/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  46% (25/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  48% (26/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  50% (27/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  51% (28/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  53% (29/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  55% (30/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  57% (31/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  59% (32/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  61% (33/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  62% (34/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  64% (35/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  66% (36/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  68% (37/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  70% (38/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  72% (39/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  74% (40/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Counting objects:  75% (41/54)
